1
0920,EMS,GENENG,104348,2820,05,1,UGRD,"ENGINEERING ECONOMY",1146,35,37,"El-Omari,Samir",C,2,"OTT 0103 TTh 10:00 AM-10:52 AM;"
0920,EMS,GENENG,104349,2930,01,1,UGRD,"APPL OF ELECTRICAL ENGR",1147,30,31,"Stanojev,Igor",C,3,"OTT 0122 MW 02:00 PM-02:52 PM;"
0920,EMS,GENENG,104349,2930,1L01,1,UGRD,"APPL OF ELECTRICAL ENGR",1149,30,31,"Stanojev,Igor",C,0,"OTT 0122 MW 03:00 PM-03:52 PM;"
0920,EMS,GENENG,104349,2930,1L02,1,UGRD,"APPL OF ELECTRICAL ENGR",1150,30,29,"Stanojev,Igor",O,0,"OTT 0103 TTh 02:00 PM-02:26 PM;"
0920,EMS,GENENG,107668,3000,01,1,UGRD,"UNDERGRD RESRCH IN ENGINEERING",1151,10,0,"",O,1,"TBA;"
0920,BILSA,INDUSTDY,105350,1030,01,1,UGRD,"INTRO TO MANUFACTURING",1152,50,48,"Steck,Francis X.",O,3,"RUS 0117 F 01:00 PM-02:52 PM;"
0920,BILSA,INDUSTDY,105350,1030,1L01,1,UGRD,"INTRO TO MANUFACTURING",1153,25,24,"Steck,Francis X.",O,0,"RUS 0001 M 01:00 PM-02:52 PM;"
0920,BILSA,INDUSTDY,103467,1130,01,1,UGRD,"WOOD TECHNOLOGY",1155,18,19,"Steck,Francis X.",C,3,"RUS 0005 T 02:00 PM-03:52 PM;"
0920,BILSA,INDUSTDY,107095,1260,02,1,UGRD,"BUILDING CONSTRUCTION DRAFTING",1166,27,26,"Shelstrom,Marc",O,3,"RUS 0003 M 08:00 AM-09:52 AM;"
0920,BILSA,INDUSTDY,103476,1430,1L02,1,UGRD,"INTRO TO METALS PROCESSES",1173,18,16,"Metzloff,Kyle",O,0,"RUS 0009 Th 12:00 PM-01:52 PM; RUS 0011 Th 12:00 PM-01:52 PM;"
0920,BILSA,INDUSTDY,103476,1430,1L03,1,UGRD,"INTRO TO METALS PROCESSES",1174,18,18,"Rimel,Eric",C,0,"RUS 0009 Th 10:00 AM-11:52 AM; RUS 0011 Th 10:00 AM-11:52 AM;"
0920,BILSA,INDUSTDY,103478,1530,01,1,UGRD,"POWER SYSTEMS TECH",1175,24,24,"Lafay,John J",C,3,"RUS 0016 T 12:00 PM-01:52 PM;"
0920,BILSA,INDUSTDY,103483,1830,01,1,UGRD,"SYNTHETIC AND COMPOSITE MATLS",1177,20,19,"Tabrizi,Majid",O,3,"RUS 0013 T 10:00 AM-11:52 AM;"
0920,BILSA,INDUSTDY,103483,1830,1L01,1,UGRD,"SYNTHETIC AND COMPOSITE MATLS",1179,20,19,"Tabrizi,Majid",O,0,"RUS 0013 Th 10:00 AM-11:52 AM;"
0920,BILSA,INDUSTDY,103483,1830,1L02,1,UGRD,"SYNTHETIC AND COMPOSITE MATLS",1180,20,21,"Tabrizi,Majid",C,0,"RUS 0013 Th 02:00 PM-03:52 PM;"
0920,EMS,CIVILENG,104404,3340,01,1,UGRD,"ENVIRONMENTAL ENGINEERING",1367,36,37,"Penn,Michael",C,4,"OTT 0140 MWF 09:00 AM-09:52 AM;"
0920,LAE,ECONOMIC,103402,2130,1D01,1,UGRD,"PRINCIPLES OF MACROECONOMICS",1368,30,27,"Soofi,Abdollah",O,0,"BOE 0221 T 12:00 PM-12:52 PM;"
0920,LAE,ECONOMIC,103402,2130,2D01,1,UGRD,"PRINCIPLES OF MACROECONOMICS",1369,30,28,"Soofi,Abdollah",O,0,"BOE 0221 T 01:00 PM-01:52 PM;"
0920,LAE,ECONOMIC,103402,2130,3D01,1,UGRD,"PRINCIPLES OF MACROECONOMICS",1370,30,23,"Soofi,Abdollah",O,0,"BOE 0221 Th 12:00 PM-12:52 PM;"
0920,EMS,CIVILENG,104404,3340,1L01,1,UGRD,"ENVIRONMENTAL ENGINEERING",1371,18,18,"Penn,Michael",C,0,"OTT 0108 T 01:00 PM-02:52 PM;"
0920,EMS,CIVILENG,104404,3340,2L01,1,UGRD,"ENVIRONMENTAL ENGINEERING",1372,18,19,"Penn,Michael",C,0,"OTT 0108 T 03:00 PM-04:52 PM;"
0920,LAE,ECONOMIC,103402,2130,4D01,1,UGRD,"PRINCIPLES OF MACROECONOMICS",1373,30,22,"Soofi,Abdollah",O,0,"BOE 0221 Th 01:00 PM-01:52 PM;"
0920,EMS,CIVILENG,104406,3530,01,1,UGRD,"TRANSPORTATION ENGINEERING",1374,36,38,"Owusu-Ababio,Samuel",C,3,"OTT 0105 MWF 09:00 AM-09:52 AM;"
0920,EMS,CIVILENG,108000,3740,01,1,UGRD,"GEOTECHNICAL ENGINEERING I",1375,34,23,"Meyers,Mark",O,4,"OTT 0124 MWF 11:00 AM-11:52 AM;"
0920,EMS,CIVILENG,108000,3740,1L01,1,UGRD,"GEOTECHNICAL ENGINEERING I",1376,17,11,"Meyers,Mark",O,0,"OTT 0066 W 01:00 PM-02:52 PM;"
0920,EMS,CIVILENG,108000,3740,2L01,1,UGRD,"GEOTECHNICAL ENGINEERING I",1377,17,15,"Bohnhoff,Gretchen L",O,0,"OTT 0066 Th 01:00 PM-02:52 PM;"
0920,EMS,CIVILENG,104409,3950,01,1,UGRD,"CIVIL & ENVIR ENGR COOP EDUC",1378,40,16,"Riedle,Lisa A",O,4,"TBA;"
0920,EMS,CIVILENG,104414,4030,01,1,UGRD,"CONSTRUCTION EQUIPMENT",1379,24,27,"Schmitt,Robert L",C,2,"OTT 0037 MW 10:00 AM-10:52 AM;"
0920,EMS,CIVILENG,104420,4160,01,1,UGRD,"FOUNDATION DESIGN",1380,24,32,"Bohnhoff,Gretchen L",C,3,"OTT 0140 MWF 12:00 PM-12:52 PM;"
0920,EMS,CIVILENG,104422,4250,01,1,UGRD,"WOOD STRUCTURES",1381,24,29,"Pantazis,Dionysios J",C,3,"EGH 0115 MWF 08:00 AM-08:52 AM;"
0920,EMS,CIVILENG,104423,4300,01,1,UGRD,"HYDROLOGY",1382,24,23,"Parker,Philip",O,3,"EGH 0127 MF 09:00 AM-09:52 AM;"
0920,EMS,CIVILENG,104423,4300,1L01,1,UGRD,"HYDROLOGY",1383,24,23,"Parker,Philip",O,0,"OTT 0070 W 01:00 PM-02:52 PM;"
0920,EMS,CIVILENG,104402,3300,02,1,UGRD,"FLUID MECHANICS",1384,36,36,"Bocher,Benjamin T",C,4,"OTT 0140 MWF 11:00 AM-11:52 AM;"
0920,EMS,CIVILENG,104402,3300,1L01,1,UGRD,"FLUID MECHANICS",1385,18,18,"Polebitski,Austin",C,0,"OTT 0033 W 01:00 PM-02:52 PM;"
0920,EMS,CIVILENG,104402,3300,2L01,1,UGRD,"FLUID MECHANICS",1386,18,19,"Polebitski,Austin",C,0,"OTT 0033 W 03:00 PM-04:52 PM;"
0920,EMS,CIVILENG,104402,3300,1L02,1,UGRD,"FLUID MECHANICS",1387,18,18,"Bocher,Benjamin T",C,0,"OTT 0033 M 01:00 PM-02:52 PM;"
0920,EMS,CIVILENG,104402,3300,2L02,1,UGRD,"FLUID MECHANICS",1388,18,18,"Bocher,Benjamin T",C,0,"OTT 0033 M 03:00 PM-04:52 PM;"
0920,EMS,CIVILENG,104424,4310,01,1,UGRD,"GROUNDWATER HYDROLOGY",1389,24,15,"Polebitski,Austin",O,3,"OTT 0222 TTh 08:00 AM-09:52 AM;"
0920,EMS,CIVILENG,104426,4400,01,1,UGRD,"MUNICIPAL HYDRAULICS",1390,24,23,"Parker,Philip",O,3,"EGH 0127 MWF 08:00 AM-08:52 AM;"
0920,EMS,GENENG,104339,1320,02,1,UGRD,"ENGINEERING COMPUTER GRAPHICS",1108,28,27,"Masoom,Fahmida",O,2,"EGH 0208 TTh 09:00 AM-10:52 AM;"
0920,EMS,GENENG,107421,2030,01,1,UGRD,"ENGR MODELING AND DESIGN",1111,25,26,"Almquist,James",C,3,"EGH 0209 TTh 11:00 AM-11:52 AM; EGH 0229 TTh 11:00 AM-11:52 AM;"
0920,EMS,GENENG,107421,2030,02,1,UGRD,"ENGR MODELING AND DESIGN",1112,26,27,"Almquist,James",C,3,"EGH 0209 MW 08:00 AM-08:52 AM; EGH 0229 MW 08:00 AM-08:52 AM;"
0920,EMS,GENENG,107421,2030,03,1,UGRD,"ENGR MODELING AND DESIGN",1113,26,29,"Almquist,James",C,3,"EGH 0209 MW 10:00 AM-10:52 AM; EGH 0229 MW 10:00 AM-10:52 AM;"
0920,EMS,GENENG,107421,2030,04,1,UGRD,"ENGR MODELING AND DESIGN",1114,25,28,"Teng,Hong",C,3,"EGH 0209 TTh 02:00 PM-03:18 PM; EGH 0229 TTh 02:00 PM-03:18 PM;"
0920,EMS,GENENG,107421,2030,05,1,UGRD,"ENGR MODELING AND DESIGN",1115,26,27,"Teng,Hong",C,3,"EGH 0209 MW 01:00 PM-01:52 PM; EGH 0229 MW 01:00 PM-01:52 PM;"
0920,EMS,GENENG,107421,2030,1L04,1,UGRD,"ENGR MODELING AND DESIGN",1120,25,28,"Teng,Hong",C,0,"EGH 0209 TTh 03:30 PM-04:48 PM; EGH 0229 TTh 03:30 PM-04:48 PM;"
